HRIS_code,資金來源,地區,服務類別,單位類別1,單位類別2,單位類別3,組別 / 單位,地址,電郵,電話 (Fax no.),主任 / 負責人,主任電郵,成立日期(命名日期),服務名額,服務年齡/面積 (平方米),備註
F-BABIES,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務,嬰兒組,"嬰兒組
Babies Section","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",babies@poleungkuk.org.hk,"2277 8613
(2576 8755)","鄺佩儀
Teresa Kwong",teresa.kwong@poleungkuk.org.hk,1878,55 (男女),0-3歲,註冊日期：1978
F-KINDER,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務,幼童組,"幼童組
Kinder Section","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",kinder@poleungkuk.org.hk,"2277 8440
(2577 7380)","曾佩雯
Grace Tsang",grace.tsang@poleungkuk.org.hk,1878,53 (男女),3-6歲,註冊日期：21.11.1981
F-CHILD,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務,兒童組,"兒童組
Children Section","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",children@poleungkuk.org.hk,"2277 8171
(2504 1316)","曾詠恩
Chrisitine Tsang",wingyan.tsang@poleungkuk.org.hk,1878,136 (男女),6-18歲,-
F-LCSP,自資,香港,綜合家庭服務,家庭及兒童中心,社區服務中心,劉陳小寶家庭及兒童綜合服務中心,"劉陳小寶家庭及兒童綜合服務中心
Lau Chan Siu Po Family and Children Integrated Services Centre","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",fcs@poleungkuk.org.hk,"2277 8274
(2882 5594)",待聘,-,30.3.2005,不限,不限,-
F-NEWCOM,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務,新生家,"新生家
New Comers' Ward","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",newcomers@poleungkuk.org.hk,"2277 8175
(2881 1810)","廖建容
Tramy Liu",kinyung.liu@poleungkuk.org.hk,-,75 (男女),0-18歲,"社署正式編制
1.4.1977"
F-NEWC-CS,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務,新生家 (秦石),"新生家 (秦石)
New Comers' Ward (Chun Shek)","新界沙田秦石邨石暉樓地下1號
No. 1, G/F, Chun Shek Estate, Shatin, N.T.",ncwchunshek@poleungkuk.org.hk,"2608 1234
(2608 1515)","廖建容
Tramy Liu",kinyung.liu@poleungkuk.org.hk,8.12.2008,20 (男女),6-18歲[@[服務年齡/面積 (平方米)]],-
F-SUNNY,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務,悦兒家,"悦兒家
Sunny Bliss Home","九龍觀塘翠屏南邨翠杭樓地下A及B翼
Wing A & B, G/F, Tsui Hon House, Tsui Ping (South) Estate, Kwun Tong, Kowloon",sunnybliss@poleungkuk.org.hk,"3848 7588
(3590 6701)",待聘,-,31.12.2025,48 (男女),3-6歲,註冊日期：31.12.2025
F-SGH,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務,兒童之家 (辦事處),"兒童之家 (辦事處)
Small Group Homes (Office)","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",sgh@poleungkuk.org.hk,"2277 8195
(2504 2985)


2277 8653
(2504 2985)","主任 (1)
楊秀萍
Lauren Yeung

主任 (2)
何啟銘
Ming Ho","lauren.yeung@poleungkuk.org.hk



ming.km.ho@poleungkuk.org.hk",-,-,-,-
F-SGH-SKM,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務, *石硤尾兒童之家," *石硤尾兒童之家
Shek Kip Mei Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","九龍深水埗石硤尾邨二十四座211-214室
Flat 211-214, Block 24, Shek Kip Mei Estate, Shamshuipo, Kowloon",skmsgh@poleungkuk.org.hk,2776 9352,待聘,-,15.11.1984,8 (女),4-18歲,主任 (1) 負責督導
F-SGH-TKO,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務, *將軍澳兒童之家," *將軍澳兒童之家
Tseung Kwan O Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","九龍將軍澳尚德邨尚真樓216-218室
Rm 216-218, Sheung Chun House, Sheung Tak Estate, Tseung Kwan O, Kln.",tkosgh@poleungkuk.org.hk,2896 1733,"羅鳳霞
Law Fung Ha",fh.law@poleungkuk.org.hk,1999,8 (女),4-18歲,"遷址日期: 1.2.1999

主任 (1) 負責督導"
